2023-07-12 17:32:14.124 wxauto.py[158] GetSessionList -> Find Control Timeout(10s): {ControlType: ListItemControl}
2023-07-12 17:32:15.473 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:15.668 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:15.684 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:15.701 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:15.733 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:15.741 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:15.953 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:16.028 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:16.036 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:16.118 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:16.203 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:16.283 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:16.300 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:16.317 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:16.358 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:16.403 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:19.122 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:19.279 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:19.294 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:19.311 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:19.344 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:19.351 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:19.562 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:19.639 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:19.646 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:19.725 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:19.808 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:19.874 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:19.891 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:19.907 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:19.948 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:19.990 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:32:32.816 wxauto.py[210] SendMsg -> Find Control Timeout(10.0s): {Name: '输入', ControlType: EditControl}
2023-07-12 17:33:32.968 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:33.114 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
2023-07-12 17:33:33.134 wxauto.py[48] SplitMessage -> Find Control Timeout(0s): {ControlType: ButtonControl}
